시군구코드,지정년도,지정번호,신청일자,지정일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,급수시설구분,소재지전화번호
3040000,2016,6,20161021,20161021,명가네남원추어탕,"서울특별시 광진구 능동로37길 11, 1층 (중곡동)",서울특별시 광진구 중곡동  649번지 13호  1층,3040000-101-2016-00001,한식,추어탕,170,중곡제1동,,02 4615977
3040000,2024,7,20240812,20241031,마루카츠,"서울특별시 광진구 아차산로41길 22, 1층 (자양동)",서울특별시 광진구 자양동  225번지 7호  1층,3040000-101-2023-00282,일식,돈가스,46.2,자양제1동,,
3040000,1998,5090,19980220,19980220,송화,"서울특별시 광진구 아차산로51길 24, 1~2층 (구의동)",서울특별시 광진구 구의동  257번지 129호  ,3040000-101-1981-00796,한식,"돼지갈비, 삼겹살",171.99,구의제1동,상수도전용,02 4476780
3040000,2013,5653,20130730,20130912,송화양꼬치,"서울특별시 광진구 동일로18길 70, (자양동)",서울특별시 광진구 자양동  11번지 2호  ,3040000-101-1985-01014,중국식,양꼬치,127.19,자양제4동,상수도전용,02 4627826
3040000,2022,4,20221020,20221207,포크포크,"서울특별시 광진구 동일로22길 117-16, (화양동)",서울특별시 광진구 화양동  5번지 95호  ,3040000-101-1998-02132,기타,"돈가스, 냉면",46.06,화양동,상수도전용,
3040000,2024,15,20240812,20241031,푸른바다,"서울특별시 광진구 동일로60길 49, 1층 (군자동)",서울특별시 광진구 군자동  467번지 13호  1층,3040000-101-2020-00235,한식,갈비,74.1,군자동,,02   4985752
3040000,2015,1,20151013,20151013,유성집,"서울특별시 광진구 천호대로137길 9, 지하2층 (구의동)",서울특별시 광진구 구의동  57번지 30호  지하2층,3040000-101-2015-00014,한식,등심,162.33,구의제2동,,02 4546999
3040000,2012,5639,20121102,20121231,니뽕내뽕,"서울특별시 광진구 동일로20길 60, 1층 (자양동)",서울특별시 광진구 자양동  10번지 45호  1층,3040000-101-2011-00014,중국식,짬뽕,82,자양제4동,,02 4991828
3040000,2012,5642,20121102,20121231,망향비빔국수,"서울특별시 광진구 천호대로 694, (구의동,(1층))",서울특별시 광진구 구의동  73번지 5호  (1층),3040000-101-2008-00224,한식,비빔국수,171.42,구의제2동,상수도전용,02 4541357
3040000,1999,5173,19990730,19990730,무등산샤브,"서울특별시 광진구 아차산로31길 6, (화양동)",서울특별시 광진구 화양동  8번지 97호  ,3040000-101-1997-02058,한식,닭한마리,104.5,화양동,상수도전용,02 4983027
3040000,2018,2,20180822,20181023,도치피자 강변,"서울특별시 광진구 아차산로62길 14-4, 1,2층 (구의동)","서울특별시 광진구 구의동  218번지 10호  1,2층",3040000-101-2017-00181,경양식,피자,163.73,구의제3동,,02 4468006
3040000,2011,5636,20111201,20111201,군자닭갈비,"서울특별시 광진구 능동로 315, 1층 (중곡동)",서울특별시 광진구 중곡동  649번지 8호  1층,3040000-101-2008-00251,한식,닭갈비,64.48,중곡제1동,상수도전용,262459888
3040000,2018,4,20180831,20181023,연경,"서울특별시 광진구 자양로 135, 1층 (자양동)",서울특별시 광진구 자양동  767번지 4호  자양오피스텔 1층,3040000-101-2017-00338,한식,두부요리,278.46,자양제1동,,02 5931233
3040000,2015,11,20151013,20151013,부림정,"서울특별시 광진구 능동로 18, 지하1층 B01-1호 (자양동, 이튼타워리버3차)",서울특별시 광진구 자양동  855번지  이튼타워리버3차-B01-1,3040000-101-2015-00244,한식,갈비,192.58,자양제3동,,02 4991714
3040000,2015,2,20151013,20151013,전주가,"서울특별시 광진구 자양로42길 2, 1층 101호,102호 (구의동)","서울특별시 광진구 구의동  71번지 1호  101호,102호",3040000-101-2014-00011,한식,콩나물국밥,84.19,구의제2동,,02 4468644
3040000,2007,5527,20070427,20070531,최원석의돼지한판&서해쭈꾸미건대1호점,"서울특별시 광진구 아차산로 199, (화양동)",서울특별시 광진구 화양동  49번지 20호  ,3040000-101-1996-01739,한식,"돼지고기, 쭈꾸미요리",105.61,화양동,상수도전용,02 4611272
3040000,2013,5659,20130730,20130912,크래버대게나라,"서울특별시 광진구 천호대로 611, 1층 (중곡동)",서울특별시 광진구 중곡동  131번지 5호  1층,3040000-101-2012-00154,기타,대게정식,199.21,중곡제2동,,02 4560277
3040000,2015,7,20151013,20151013,상구네솥뚜껑삼겹살,"서울특별시 광진구 능동로 387, (중곡동)",서울특별시 광진구 중곡동  165번지 3호  ,3040000-101-1986-01090,한식,갈치조림,82.82,중곡제1동,상수도전용,02 4646118
3040000,2005,5436,20050705,20050705,중일가든,"서울특별시 광진구 아차산로76가길 4, (광장동)",서울특별시 광진구 광장동  325번지 4호  ,3040000-101-1988-01348,한식,꽃등심,362.08,광장동,상수도전용,02 4543770
3040000,1999,5166,19990730,19990730,무교동낙지구의점,"서울특별시 광진구 아차산로 464, (구의동)",서울특별시 광진구 구의동  213번지 2호  ,3040000-101-1998-02215,한식,낙지볶음,165.78,구의제3동,상수도전용,02 4462565
3040000,2018,5,20180823,20181023,미가담,"서울특별시 광진구 자양로 165, 1층 (구의동)",서울특별시 광진구 구의동  254번지 114호  1층,3040000-101-2014-00147,호프/통닭,보리밥,82.5,구의제1동,,02 22019595
